run_accession	fastq_ftp
SRR32076135	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/035/SRR32076135/SRR32076135_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/035/SRR32076135/SRR32076135_2.fastq.gz
SRR32076136	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/036/SRR32076136/SRR32076136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/036/SRR32076136/SRR32076136_2.fastq.gz
SRR32076137	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/037/SRR32076137/SRR32076137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/037/SRR32076137/SRR32076137_2.fastq.gz
SRR32076139	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/039/SRR32076139/SRR32076139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/039/SRR32076139/SRR32076139_2.fastq.gz
SRR32076143	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/043/SRR32076143/SRR32076143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/043/SRR32076143/SRR32076143_2.fastq.gz
SRR32076138	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/038/SRR32076138/SRR32076138_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/038/SRR32076138/SRR32076138_2.fastq.gz
SRR32076140	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/040/SRR32076140/SRR32076140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/040/SRR32076140/SRR32076140_2.fastq.gz
SRR32076141	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/041/SRR32076141/SRR32076141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/041/SRR32076141/SRR32076141_2.fastq.gz
SRR32076142	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/042/SRR32076142/SRR32076142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/042/SRR32076142/SRR32076142_2.fastq.gz
SRR32076144	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/044/SRR32076144/SRR32076144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/044/SRR32076144/SRR32076144_2.fastq.gz
SRR32076145	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/045/SRR32076145/SRR32076145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/045/SRR32076145/SRR32076145_2.fastq.gz
SRR32076146	ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/046/SRR32076146/SRR32076146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR320/046/SRR32076146/SRR32076146_2.fastq.gz
