p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	regulation
1.46616776260957e-240	-5.16544287169443	0.011	0.278	2.37152635602099e-236	AABR07060872.1	Down
3.6024254325518e-222	2.39304700258368	0.593	0.2	5.82692313715253e-218	Gadd45g	Up
1.85036123918927e-220	2.11494927426383	0.534	0.118	2.99295930438864e-216	Fgl2	Up
2.1190465801078e-204	2.32594841854073	0.606	0.203	3.42755784332436e-200	Mgp	Up
1.55417784760997e-178	1.6610929673482	0.505	0.141	2.51388266850912e-174	Ifitm1	Up
1.32983799585486e-166	2.47544052596145	0.394	0.074	2.15101295829523e-162	Lgals3	Up
2.80038039428324e-164	-2.01900561010678	0.079	0.344	4.52961528775315e-160	Hba-a1	Down
4.42847165289305e-158	-4.3420399465752	0.009	0.192	7.16305289855452e-154	Ighm	Down
7.13893580570829e-158	1.51753326591002	0.47	0.139	1.15472286657332e-153	Dcn	Up
1.49908031769487e-150	0.947913809117578	0.868	0.594	2.42476241387145e-146	AABR07000398.1	NotSig
2.6866206909004e-147	2.44179956130374	0.315	0.039	4.34560896753139e-143	Thbs4	Up
1.97486113640376e-133	2.05481714457563	0.59	0.3	3.19433788813308e-129	Gsn	Up
5.16351043674769e-132	2.8396192283423	0.396	0.112	8.35197813143939e-128	Timp1	Up
6.79776321913196e-127	3.23604922732701	0.292	0.045	1.09953820069459e-122	Cilp	Up
5.2320169497435e-124	-0.859037232894331	0.956	0.97	8.46278741621011e-120	Tmsb4x	NotSig
1.8929253988968e-123	4.26439941685879	0.255	0.026	3.06180683271558e-119	AABR07042514.3	Up
2.3401665772845e-121	3.95318056673428	0.246	0.022	3.78521943875768e-117	Smoc2	Up
1.07694613100151e-120	1.99517115954275	0.333	0.073	1.74196036689494e-116	Bgn	Up
6.94152711254341e-119	3.50686313547522	0.264	0.035	1.1227920104539e-114	Angptl4	Up
1.00086151578085e-118	2.02357931770702	0.322	0.067	1.61889350177552e-114	Aebp1	Up
1.23828228320981e-117	0.751450445299477	0.895	0.67	2.00292159309187e-113	Rps28	NotSig
1.0620249556544e-112	2.01412240580101	0.425	0.17	1.71782536577099e-108	Serping1	Up
3.05288634874161e-112	2.50793713941754	0.281	0.049	4.93804366908956e-108	Mfap5	Up
5.39771017188011e-110	-2.45974257917289	0.035	0.205	8.73079620301608e-106	LOC100134871	Down
3.9907509647977e-109	1.66855149269074	0.347	0.092	6.45503968556028e-105	Cygb	Up
4.17926335172909e-107	1.30879512410238	0.459	0.175	6.7599584714218e-103	Capg	Up
1.70073905845745e-106	1.45043812834009	0.374	0.113	2.75094542705492e-102	Clic2	Up
3.2101992851463e-106	0.626055013959884	0.945	0.77	5.19249734372414e-102	Rps27	NotSig
9.3719622288093e-106	1.15886108038394	0.318	0.075	1.5159148905099e-101	Igfbp6	Up
2.35338285313088e-104	1.48821444638552	0.288	0.057	3.8065967649392e-100	Lum	Up
1.9891442217231e-103	1.96196538552298	0.341	0.101	3.21744077863711e-99	Ccdc80	Up
3.56029006744516e-103	1.22673892421251	0.381	0.123	5.75876918409254e-99	Col3a1	Up
2.16269859030568e-101	0.977102181765763	0.693	0.43	3.49816496981945e-97	LOC100360841	NotSig
1.64184767311487e-100	1.39858546318345	0.369	0.115	2.6556886112633e-96	Emp1	Up
8.45009871111636e-99	1.46886835955049	0.367	0.119	1.36680346652307e-94	Igfbp4	Up
2.16966658602324e-97	-0.446192548760433	0.996	0.968	3.5094357028926e-93	Mt-nd2	NotSig
6.27480478316076e-97	1.67138104213933	0.29	0.068	1.01494967367625e-92	Fbln2	Up
4.56880619444291e-96	2.93814813981129	0.238	0.038	7.3900440195114e-92	C7	Up
1.0456166787383e-95	0.564040863109631	0.967	0.834	1.6912849778592e-91	Rpl37a	NotSig
1.78765644280125e-95	0.992190138377214	0.309	0.078	2.89153429623102e-91	Col1a1	NotSig
9.27259571956849e-94	1.6795248208258	0.296	0.075	1.4998423576402e-89	NEWGENE-1308171	Up
1.20214426049258e-92	2.21224689757527	0.23	0.035	1.94446834134674e-88	Sfrp1	Up
6.62969957476299e-91	1.41587992879538	0.584	0.33	1.07235390621791e-86	Hspa1b	Up
2.04213580890483e-90	2.35143459347501	0.234	0.041	3.30315467090357e-86	F3	Up
1.00842898979426e-89	2.68027259687922	0.219	0.033	1.63113389099222e-85	Mnda	Up
1.19050145048468e-89	-0.787036392830911	0.83	0.837	1.92563609615897e-85	LOC100361457	NotSig
1.21747234611752e-88	-7.22155713472587	0.009	0.12	1.96926151984509e-84	Nppc	Down
3.50210927118801e-87	0.560931873751132	0.953	0.805	5.66466174614661e-83	Rplp1	NotSig
1.55817565779668e-85	1.61600946777218	0.299	0.085	2.52034912648613e-81	Cped1	Up
5.77519547417857e-85	-4.16608010483706	0.019	0.141	9.34137867948383e-81	Cpa1	Down
9.59471760434895e-85	0.55155950507182	0.952	0.851	1.55194557250344e-80	Rps16	NotSig
3.70403910658558e-84	-0.343855959328652	0.999	0.988	5.99128325490217e-80	Mt-atp6	NotSig
4.88135213924277e-84	1.14875764434044	0.564	0.332	7.89558708522519e-80	Gadd45b	Up
1.75946997723646e-83	0.853538517537192	0.38	0.134	2.84594268817998e-79	Cfh	NotSig
2.65470926012077e-83	3.05620322720918	0.197	0.026	4.29399222824534e-79	Col8a1	Up
2.70075472369011e-83	2.7625814757367	0.244	0.053	4.36847076556875e-79	Ccl2	Up
5.26141359334196e-83	2.09215088800534	0.216	0.036	8.51033648723062e-79	Col14a1	Up
7.35363940035215e-83	1.51521833638831	0.346	0.129	1.18945117300696e-78	Col6a2	Up
2.88107782136792e-82	0.981462122551095	0.457	0.21	4.66014337606262e-78	Nucb2	NotSig
3.91745042239248e-82	1.36196815483236	0.45	0.225	6.33647605821983e-78	Rps18	Up
2.11572295924368e-81	2.75026833404173	0.206	0.033	3.42218188657666e-77	AABR07054614.1	Up
2.89693891903598e-81	1.05738551694338	0.548	0.31	4.6857987015407e-77	Rpl13	Up
7.1456495852727e-81	2.00630460923372	0.22	0.04	1.15580882041786e-76	Clec3b	Up
2.08911314186271e-77	2.00407260429288	0.336	0.136	3.37914050696294e-73	Prelp	Up
3.69881510607591e-77	0.628909116176483	0.798	0.558	5.98283343407778e-73	LOC100359951	NotSig
4.47434124593374e-77	1.84415471409127	0.219	0.044	7.23724696529783e-73	Itgbl1	Up
3.01181132086536e-76	1.63493307268286	0.221	0.044	4.87160481149972e-72	Fbln1	Up
3.88449885705888e-76	6.69084150144295	0.141	0.004	6.28317690129273e-72	Ccn5	Up
1.74439366488213e-75	1.7922124809828	0.331	0.134	2.82155675294684e-71	C1s	Up
2.33785185803335e-75	1.54831693423469	0.464	0.259	3.78147538036895e-71	RGD1565355	Up
2.78237025728875e-75	2.30388571272992	0.209	0.041	4.50048389116455e-71	LOC100360087	Up
4.83487868145106e-75	2.20777500137526	0.213	0.044	7.82041626724708e-71	Bicc1	Up
5.82505991197159e-75	1.92508822764796	0.203	0.036	9.42203440761405e-71	Pdgfra	Up
7.00594161348606e-74	1.6232397261612	0.367	0.167	1.13321105598137e-69	Dpt	Up
1.81039109144241e-73	1.27228881812704	0.269	0.079	2.9283075904081e-69	Adarb1	Up
2.03509151869376e-73	0.70241276292517	0.701	0.447	3.29176053148715e-69	Rpl32	NotSig
6.27786010743538e-73	0.623009336884579	0.831	0.595	1.01544387237767e-68	Rpl23a	NotSig
9.81439104526258e-73	1.92048823605184	0.215	0.045	1.58747775157122e-68	Ctsk	Up
1.06996760881119e-72	1.84641194094296	0.312	0.112	1.73067260725209e-68	Ccn2	Up
3.41533426830303e-72	1.09467327823719	0.366	0.153	5.52430317898016e-68	Il6st	Up
4.30296840686427e-72	1.29393417278759	0.381	0.176	6.96005139810295e-68	C1r	Up
1.11034316676734e-71	1.33621987904981	0.284	0.093	1.79598007224617e-67	Pcolce	Up
4.09547794439448e-71	0.413651145102651	0.971	0.883	6.62443557505807e-67	Rpl41	NotSig
6.63096210912051e-71	2.74574568613892	0.198	0.04	1.07255812115024e-66	Loxl1	Up
1.7837043168441e-70	0.971500025394088	0.425	0.213	2.88514173249533e-66	Pmp22	NotSig
5.54056968949191e-70	1.22026402913692	0.363	0.161	8.96187147275317e-66	Cd302	Up
1.73421600101016e-68	0.601980409780701	0.876	0.753	2.80509438163394e-64	Vim	NotSig
4.96477241986381e-68	1.79188836871517	0.224	0.057	8.03051938912971e-64	Cpq	Up
6.75094383269367e-68	-0.317319643537616	0.999	0.99	1.0919651649382e-63	Mt-co3	NotSig
8.51040498944368e-68	1.54227807865626	0.231	0.061	1.37655800704252e-63	Pdgfrl	Up
1.98180099982867e-67	0.815996418095009	0.612	0.389	3.20556311722287e-63	Rpl36a	NotSig
5.85001238323656e-67	2.80379281232453	0.162	0.022	9.46239502988514e-63	C1qtnf7	Up
9.84123495652314e-67	1.00063019858624	0.491	0.28	1.59181975421762e-62	Anxa1	Up
1.30738167703391e-66	-2.25327273640315	0.122	0.283	2.11468986260236e-62	Car2	Down
2.21339183454218e-66	0.659963326147224	0.447	0.213	3.58016129237198e-62	Xdh	NotSig
2.71882366863879e-66	-0.325844664059069	0.996	0.98	4.39769728402325e-62	Mt-nd1	NotSig
4.52256541407033e-66	1.33655670367967	0.351	0.16	7.31524955725876e-62	Rps10.1	Up
7.74433528845878e-66	1.88772441733376	0.231	0.066	1.25264623290821e-61	Col6a1	Up
1.57285530393643e-65	0.525332925467406	0.864	0.634	2.54409345411717e-61	Rps12	NotSig
3.46644582321883e-65	0.541057082254974	0.395	0.188	5.60697611905646e-61	Btf3	NotSig
3.50672081996634e-65	1.16894912322449	0.32	0.131	5.67212092629556e-61	Fbn1	Up
1.08111796600553e-64	-0.357873123057128	0.993	0.948	1.74870831001395e-60	Mt-nd4	NotSig
1.4246764476489e-64	2.54842583562069	0.186	0.038	2.3044141540721e-60	Slc43a3	Up
2.98710317601119e-64	1.78082607688638	0.219	0.058	4.8316393871981e-60	Atp8b1	Up
5.31996865619078e-64	0.734584441489639	0.19	0.039	8.60504930138858e-60	Myoc	NotSig
2.39562959788432e-63	1.83500031591726	0.19	0.04	3.87493087457789e-59	Ogn	Up
2.56128513038165e-63	3.37105605202193	0.133	0.01	4.14287869839231e-59	Spp1	Up
8.32274221908735e-63	0.847107887448372	0.645	0.438	1.34620355393738e-58	S100a6	NotSig
9.0835328165078e-63	0.973448117775415	0.421	0.218	1.46926143307014e-58	Sod2	NotSig
3.2249654481637e-62	1.09613780325419	0.4	0.198	5.21638161240479e-58	Tgfbr3	Up
3.97707361239053e-62	-1.6848907959416	0.03	0.139	6.43291656804168e-58	Hbb-bs	Down
1.70040425116632e-61	0.824268394046497	0.484	0.277	2.75040387626152e-57	Gda	NotSig
3.17015128104715e-61	0.638755435436072	0.583	0.361	5.12771969709377e-57	Lmna	NotSig
3.19615840123351e-61	0.404079125733934	0.931	0.741	5.1697862139952e-57	Rpl35	NotSig
3.8385843050167e-61	0.858882809988583	0.372	0.175	6.20891011336452e-57	Slc44a1	NotSig
